Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
« òhtrega — 'l dìh — che — 'l dìh —	« ostrega
he i gh'à botép — al dìh —	come hanno buontempo!
a gh'ó piö botép ché che gna' 'ndà col Signùr — al dìh — èh!	mi diverto di più qui che non col Signore
'anto — 'l dìh — ha gh'ó botép, a 'htó ché mé — 'l dìh — èh! »	che buontempo! io resto qui »
'nvéce de stà lé quàter dé	invece di restare quattro giorni
l'è stài lé	si è fermato
ö mìh	un mese
'tana	puttana
i maià-a e i bi-ìa	mangiavano e bevevano
i sunà-a e	suonavano
i copà-a ö edèl	ammazzavano un vitello
e copà chèl	ammazzavano questo
e copà chèl óter	e quello
« madóna dìh — he gh'ó botép! »	« madonna che buontempo! »
i hunà-a l'armònica	suonavano la fisarmonica
e uśà	e gridavano
« anto — 'l dìh — he gh'ó botép! — 'l dìh —	
a 'ndo piö gna col Divìn Maèstro mé — 'l dìh — èh!	« non vado più neanche col Divin Maestro io! »
menemà	ma
'ta è 'gnìt ö mìh	passato un mese
'l dìh: « mè che 'ndaghe — l dìh perchè cóha digheràl? — al dìh	si dice: « devo andare chissà cosa dirà! »
menemà 'l và	così parte
— hét vegnìt Piéro?	— sei arrivato Pietro?
— hé	— sì
— che manéra hét vegnìt issé tarde?	— perché sei venuto così tardi?
— madóna 'l dìh — Divìn Maèstro	— Divin Maestro
he gh'ìe botép! — al dìh —	che buontempo avevo!
i maià-a	mangiavano
e i bi-ìa	bevevano
e i balà-a! — 'l dìh	ballavano!
— ah sé? — 'l dìh —	— ah si?
ma nüminàei mé?	ma ero nominato io?
— mài — al dìh —	— mai
mài Divìn Maèstro	Divin Maestro
i la nüminà-a mài mài mài mài! — al dìh	non la nominavano mai!
óter	altro
— arda — 'l dìs — Piéro! — 'l dìh	— guarda Pietro!
l'è pahàt ön ótr'àn	passato un altr'anno
'l ga dìh: — Piéro	il Signore gli dice: — Pietro
'ndarèhet mìa té	non andresti
öna quàch dé — 'l dìh — ala tó cà?	per qualche giorno a casa tua?
— Divìn Maèstro — 'l dìh — he	— Divin Maestro se
'l ma laha 'ndà — 'l dìh —	mi lascia
'ndarèh ontéra	andrei volentieri
— ada	— guarda
l'ótra ölta t'ìe dài quàter dé	l'altra volta ti avevo dato quattro giorni
te hé stài fò ö mìs	e sei rimasto un mese
ölta stà fò ö mìh	questa volta
śà ca to gh'é üt 'ssé botép, stà fò ö mìh —	se hai avuto tanto buontempo, restaci un mese —
töt contét	lui tutto contento
hèmper négher id fàm lü	sempre nero dalla fame
« 'ndó fò a maià e bìf! »	« andrò a mangiare e bere! »
'l và là ala hò cà	va a casa sua
s' sènt negót	non sente niente
töt mòrt	tutto è morto
töt mòrt	tutto è morto
'l và ala campagna lé	va alla campagna
Hàn Piéro 'l ciàma hò mader:	San Pietro chiama sua madre:
— mama! —	— mamma! —
pò 'l dèrf l'öh	poi apre l'uscio
l'è là 'n giö cantù	lei è in un angolo
al föch:	vicino al fuoco
— hét ché a' té Piéro?	— arrivi anche tu Pietro?
madóna per carità!	madonna per carità!
m'è mórt töc i bes-ciàm	ci sono morte tutte le bestie
gh'è 'gnìt ön tempestù	è venuta una gran tempesta
gh'è 'ndài töt	tutto s'è rovinato
m'à fai gna' ö falì de 'ì	non abbiamo fatto nemmeno un po' di vino
piö nagót	più niente
m'è mórt töt	ci è morto tutto
e póie e pulì	galline 'e tacchini!
m'è mòrt töt!	ci è morto tutto
m'è restàt öna cavrìna hule!	c'è rimasta solo una capretta!
gh'ét fàm Piéro?	hai fame Pietro?
— hó négher! — al dìh	— sono nero!
— sà sa — 'l dìh	— vieni —
gh'ìa lé ò miglì 'ssé d' polènta	c'era un boccone di polenta
è 'ndài hóta 'sta cavrina	sono andati sotto la capretta
e i gh'à tetàt śó ö falì de 'sto làc	le hanno munto un po' di latte
i à metìt dét 'esti dù bucù d' polènta	vi han messo questo po' di polenta
potana ma lü 'l n'avrèh maiàt ö chilo	ma lui ne avrebbe mangiato un chilo
de 'sta polènta!	di polenta!
— potà ada Piéro, lahe sta d'maià a' mé, t'la dó a té	— guarda Pietro, non mangio la mia, la dò a te
madóna signùr per carità!	Signore per carità!
al gh'ìa de 'gnì ö tempestù 'ssé	doveva venire una tempesta così forte
e fàm mör töc i bèh-ce!	a farmi morire tutte le bestie!
Signùr per carità perdoném! —	Signore per carità perdonatemi! —
la ga dà-a a nüminà 'l Signùr	continuava a nominare il Signore
pota ma lü al dé dòpo	ma San Pietro il giorno dopo
Hàn Piéro l'è 'ndài lü	è andato
« ché bache hö d'la fàm! »	« qui patisco la fame! »
l'è 'ndàc 	è andato
'l và là del Signùr	va dal Signore
'l ga dìh: — ma...	che gli dice: — ma...
che manéra Piéro hét śamò egnìt?	perché sei già arrivato Pietro?
— Divìn Maèstro — 'l dìh —	— Divin Maestro
gh'è 'gnìt ö tempestù — 'l dìs —	è venuta una grande tempesta
gh'è öna carehtéa — 'l dìh — tremènda — 'l dìh —	c'era una tremenda carestia
e mé — 'l dìs —	e io
gh'ìe öna fàm!	avevo una fame!
gh'ìa lé — 'l dìh — önà cavrina...	c'era una capretta...
— ma nüminàei mé?	— ero nominato io?
— sé èh	— sì
sé èh Divìn Maèstro! —	sì Divin Maestro!
óter	altro
'l và là amó 'm pó	camminano ancora
dù u trì dé	due o tre giorni
'l và 'n giöna strada	arrivano in una strada
e 'l ga dìh:	e Pietro dice:
— madóna — 'l dìs — se gh'ó fàm! — al dìs	— che fame!
al ga dìh: — to gh'é fàm?	— hai fame?
a l'è 'l bèl — al dìh —	il bello è
che l'è amò de lontà — 'l dìh — a 'ndà 'n del paìh — al dìh —	che il paese è ancora lontano
per tö de maià —	per comperare da mangiare —
'l ga dìs ol Signùr:	dice il Signore:
— ada Piéro	— guarda Pietro
paha de ché té — 'l dìh —	tu passa di qui
che gh'è öna strada deśèrta	c'è una strada deserta
ta 'ncontreré — 'l dìh —	incontrerai
ö bezzutì 'l dìh —	un agnellino
caśo mài to l' cópet — al dìh —	caso mai ammazzalo
però	però
chèl che ta racomande l dìh	ti raccomando
de portàm a cà 'l fìdech a mé 'l prìm	di portare il fegato a me
la ma halvet	tienimelo da parte
ol fìdech	il fegato
— sé sé sé — 'l dìh — Divìn Maèstro	— sì Divin Maestro!
sé sé — 'l dìh	sì sì — dice
'l paha lé	passa
'n de 'sta strada	per quella strada
l'à ést ön bèl bessutì	ha visto proprio un bell'agnellino
öna fàm che 'l gh'ìa	aveva una gran fame
l'avrèh maiàt a' la pél!	avrebbe mangiato anche la pelle!
cópa 'sto bessutì	lo ammazza
potà ma	ma
ol prìm che 'l fà-a 'ndà l'éra 'l fìdech	il primo da cucinare era il fegato
l'éra höbet còc	era subito cotto
al l'à hbafàt lü	se l'è sbafato
l'à maiàt a' chèl óter, ma 'l prìm l'è stàc ol fìdech	ha mangiato anche il resto ma per primo il fegato
l'à fai tüc chi laùr lé	ha fatto tutte queste cose
'l paha śó	poi s'avvia
i ha 'ncuntra	e si incontrano di nuovo
— e 'ssé Piéro	— allora Pietro
'ndo gh'ét ol fìdech? — al dìh	dove hai il fegato?
— Divìn Maèstro — 'l dìh — la gh' l'ìa mìa dét ol fìdech — al dìh —	— Divin Maestro non aveva il fegato
pènsa che gh' l'ìa mìa dét ol fìdech!	pensi, non aveva proprio il fegato!
Öna ölta	Una volta
a gh'éra	c'erano
ö pehcadùr	un pescatore
e la hò fómna	e sua moglie
éra hèmper négher de fàm	erano sempre neri di fame
e lü l'indà-a töc i dé a pehcà	lui andava tutti i giorni a pescare
per ciapà anóma ergót de mangià	per prendere almeno qualcosa da mangiare
öna bèla matina	un bel mattino
al tira i hò réc	tira le reti
e 'l vèt che gh'è déter	e vede che dentro c'è
ö vaśetì	un vasettino
'l ga dà śó öna htangada	gli dà una bastonata
e 'l sét:	e sente:
— ahi ta md fé màl! —	 — ahi mi fai male! —
e gliùra śó ön'ótra htangada	allora giù un'altra bastonata
— ah basta basta! —	— ah, basta basta! —
e gliùra lü 'l fà:	pensa:
— ma criste — 'l dìh — chi él che 'l parla?	« ma chi è che parla? »
— a hó mé — 'l dìs — hó 'l pesì fatàt! —	— sono io, il pesciolino fatato —
óh!	oh!
töc i ne parlà-a che gh'éra ö pehì fatàt d'arśènt	tutti dicevano che c'era un pesciolino d'argento fatato
ma i la troà-a mài nigü	ma mai nessuno lo trovava
e lü 'l fà: — finalménte l'ó troàt —	— finalmente ti ho trovato! —
e 'l péh al gh'à dìc:	il pesce gli ha detto:
— làhem endà	— lasciami andare
ta dó	ti dò
töt chèl che té ta ölet	tutto quello che vuoi
basta che té ta ma lahet endà —	basta che tu mi lasci andare
e 'l dìh: — éh pòta ma mé — 'l dìh — hó famàt	— ma io sono affamate
hó 'n miśèria, hó pié de dèbec	sono in miseria, pieno di debiti
gh'ó gnè' cà, gnè' tèc	non ho né casa, né tetto
gh'ó le rét ròte	ho le reti rotte
— và bé — 'l dìh — mé te farò sciòr	— va bene, io ti farò ricco
— 'l dìh — egliùra fà isé	allora fai così:
và a cà domàndega ala tò fómna chèl che ülì	vai a casa, chiedi alla tua donna quello che volete
e quàndo ta gh'é de biśògn	e quando ne avrai bisogno
te ègnet in chèl pòht ché	vieni in questo posto
e ta ma ciàmet:	e chiamami:
« pehì, bèl pehì	« pesciolino, bel pesciolino
vé a rìa del màr che ói parlàt »	vieni a riva del mare che voglio parlarti »
mé ghe haró hèmper	io ci sarò sempre
— và bé — 'l dìh —	— va bene
agliùra — 'l dìh — am hè decórde —	allora siamo d'accordo —
ciàpa ol vaśetì	prende il vasettino
al l'à bötàt en del màr	lo butta nel mare
e 'l turna 'ndré de ónda	e torna indietro di corsa
quàndo che 'l rìa ala rìa	quando giunge a riva
gh'è fò la hò fómna con giöna hcùa 'n di mà èh	c'è la sua donna con una scopa in mano
l'éra négra de fàm: « adèh — la dìh —	era nera di fame
chèl laśarù l'à ciapàt gna' ö pèh — al dìh —	« quel lazzarone non ha preso neanche un pesce
ga dó tate de chèle htangade! »	gli dò tante di quelle legnate! »
e gliùra la gh'à dìc:	allora gli ha chiesto:
— 'ndo gh'ét la pèsca?	— dove hai la pesca?
— madóna — 'l dìh — ó ciapàt negóta — 'l dìh — ada hcüśem!	— madonna, non ho preso niente, scusami!
ó ciapàt — al dìh —	avevo preso
ö vaśetì d'arśènt	un vasettino d'argento
e 'l gh'éra dét chèl pehì fatàt	c'era dentro quel pesciolino fatato
— 'ndo gh' l'ét?	— dove l'hai adesso?
— l'ó bötàt dét amò	— l'ho buttato ancora dentro
— bröt àśen che ta hé	— brutto asino che sei
ta dó de chèle stangade!	ti dò di quelle legnate!
— nò! — 'l dìh —	— no!
al m'à dìc isé che 'l ma dà töt chèl che öle	mi ha detto che mi dà tutto quello che voglio
però	però
'l m'à dìt de domandàt a té chèl che té ta ölet —	devo chiedere a te quello che vuoi —
e gliùra lé la dìh:	allora lei dice:
— ùh curi, turna 'ndré, turna 'ndré	— corri, torna indietro
diga ca ói de-entà sciùra	digli che voglio diventare signora
ca ói vestìs sö ö falì bé	che voglio vestirmi un po' bene
ca ói viga öna cà ö falì bèla	voglio avere una casa un po' bella
che ói mangià ahé	mangiare abbastanza
pò ói viga a' öna hèrva	poi avere una serva
fà ala hvèlta, fà ala hvèlta	fai presto
perchè gh'ó öna fàm che ga rìe piö	perché non ce la faccio più dalla fame!
e gliùra 'sto poér òm	allora il pover'uomo
négher de fàm	nero di fame
al gh'éra gna' a' la fórsa de remà	senza neppure la forza di remare
'l fà 'ndà amò 'hto rémo	muove ancora il remo
al rìa fò 'n chèl pòht	arriva in quel posto
e gliùra 'l ha regordà-a piö cóha 'l gh'éra de diga	ma non si ricorda più cosa doveva dire
e pènsa e pènsa, pò 'l fà:	pensa e pensa, poi dice:
— pehì, bèl pehì	— pesciolino, bel pesciolino
vé a rìa del màr che ói parlàt —	vieni a riva del mare che voglio parlarti —
« proèm — al dìs — se la 'à bé »	« proviamo se va bene »
menemà	d'un tratto
a l'è 'gnìt a hém	è venuto a galla il bel pesciolino
'esto bèl pehì	questo bel pesciolino
al gh'à dìc isé: — cóha ölet?	e gli ha chiesto: — cosa vuoi?
— al m'à dìc isé la mé fómna	— la mia donna mi ha detto
ca la öl de-entà sciùra perchè l'e htöfa de ligà hö la fàm	che vuol diventare una signora, perché è stanca di aver fame
e de htà ehtìda de htràh	e di essere vestita di stracci
e fà ala hvèlta perchè gh'ó biśògn de hólc! —	fai presto perché ho bisogno di soldi! —
e lü 'l gh'à dìc isé:	lui gli ha risposto:
— 'à a cà	— vai a casa
e 'l tò deśidério l'è śamò eśaudìt	il tuo desiderio è già esaudito
óter	altro
lü 'l turna 'ndré: « cóm'éla 'hta htòria? »	lui torna indietro: « com'è questa storia? »
al fà per tö hö l'óter rémo dré ala barca	fa per prendere l'altro remo dalla barca
gh'è lé öna bórsa	c'è una borsa
al ga arda, l'è töta piéna de hólc	la guarda, è tutta piena di soldi
l'à ciapàt la léna de remà	gli è venuta la lena di remare
ala hvèlta, ala hvèlta	proprio alla svelta
al rìa a cà	arriva a casa
la hò fómna l'è lé che 'l la hpèta	la sua donna lo sta aspettando
la dèrf fò hta bórsa	apre la borsa
— madóna!	— madonna!
cór cór ala hvèlta 'ntàt che gh'è de-èrt amò le bütighe!	fai presto intanto che sono ancora aperte le botteghe! —
'ndàc a comprà 'm pó de farina de fà la polènta	è andato a comprare un po' di farina per fare la polenta
l'è 'ndàc a	è andato a
comprà 'm pó de pèh	comprare un po' di pesce
ö fiahchetì de 'ì	un fiaschette di vino
'm pó de pà	un po' di pane
ala hvèlta, ala mèi	così alla bell'e meglio
pòta ma lé chèla là la h'è metida dré a fà la sciùra	ma quella s'è messa a fare la signora
la gh'à ülìt fa hö la cà bèla	ha voluto costruire una bella casa
la ói tö i vestìt bèi	prendere dei bei vestiti
l'à ülìt tö la hèrva	e avere la serva
e la mangià-a, la bi-ìa e la ha di-ertìa	mangiava, beveva e si divertiva
finché	finché
pòta ö dé l'à dìc:	un giorno s'è detta:
— và bé ca hó sciùra, ma enfì cóha fói? negót!	«va bene che sono una signora, ma in fondo cosa faccio? niente!
a gh'è hö 'l palàh del cónte	c'è il palazzo del conte
hö 'n sima ala montagna	in cima alla montagna
mé ói de-entà öna contèsa! —	io voglio diventare una contessa! »
la ga dìh al hò marito: — ada	ha detto al marito: — guarda
tö hö la barca	prendi la barca
và fò	vai
ciàma amò chèl pehulì	a chiamare ancora quel pesciolino
diga	e digli
che mé ói de-entà öna contèha	che io voglio diventare contessa
e gliùra 'hto òm	allora quell'uomo
al tö hö la barca	prende la barca
e 'l và e 'l và e 'l và	va, va e va
e ga 'gnìa quàśe piö 'n mènt la fórmula	quasi non gli veniva più in mente la formula
dòpo gh'è 'gnìt en ment:	poi si è ricordato:
— pehì, bèl pehì	— pesciolino, bel pesciolino
vé a rìa del màr che ói parlàt —	vieni a riva del mare che voglio parlarti —
e lü	e lui
'hto pehì	il pesciolino
'l ghe dìs: — cóha ölet?	gli ha chiesto: — cosa vuoi?
— ada la mé fómna l'è htöfa de fà hùle la sciùra	— guarda che la mia donna è stanca di fare solo la signora
la öl vèh öna contèha —	vuole essere una contessa —
e lü 'l gh'à dìc isé: — eéh và a cà	lui gli ha risposto: — vai a casa
che la tò fómna	che la tua donna
l'è eśaudida —	è esaudita —
e gliùra lü	allora lui
al ha gira per tö hö i rèmi	si gira per prendere i remi
al vèt lé on'ótra bórsa	vede un'altra borsa
piö granda	più grande
piéna amò de hólc	ancora piena di soldi
gh'éra dét de chèle bèle monedahe gròhe	c'erano dentro delle belle monete grosse
che l'ìa mài gna' éht	che non aveva neppure mai visto
töt contét e 'l cór e 'l cór	tutto contento corre e corre
la hò fómna la fà öna fèsta!	la sua donna gli fa una festa!
e gliùra	allora
l'à compràt chèl castèl hö 'n séma	ha comprato quel castello in cima alla montagna
e lé la dà-a le fèhte	lei dava delle feste
la mangià-a	mangiava
e la bi-ìa	beveva
e la ha di-ertìa	si divertiva
però	però
l'éra mìa conteta	non era contenta
la dìh: « arda 'm pó	si diceva: « guarda un po'
a gh'è 'l marchés	c'è il marchese
che sta de là d'la àl	che sta oltre la valle
'l gh'a ö cahtèl con giöna tur piö gran' de mé	e ha un castello con una torre più grande della mia
perchè mé gh'ó mìa de eh marchéśa? »	perché io non devo essere marchesa? »
la ciàma 'l hò òm, la gh'à dìt: — tè	chiama il suo uomo, gli dice:
và amò de chèl pehì	— vai ancora da quel pesciolino
diga che mé ói de-entà öna marchéśa —	digli che io voglio diventare marchesa —
e glìùra 'hto òm al ga dìh:	allora l'uomo ha risposto:
— ada che 'm hè śamò sciòr nèh	— guarda che siamo già ricchi
